n_bins,strategy,min_freq,mse,compression_ratio,perplexity,entropy,consistency_score,vocab_size
20,quantile,30,0.010076570799546282,4.722466960352423,8.831752946609884,3.1426998157204897,0.23212145959820216,174
20,quantile,50,0.010076570799546282,4.114555653971066,7.770266667835645,2.9579641113437143,0.17050071621940097,118
20,quantile,100,0.010076570799546282,3.8518518518518516,7.226107970334098,2.853218811247223,0.12656819205736902,99
20,quantile,200,0.010076570799546282,3.077058953411349,5.077133606360007,2.3440142255386425,0.07137987145218387,76
20,quantile,300,0.010076570799546282,2.9252728799328294,4.731838966483457,2.242400976845733,0.06430921996193956,66
20,gaussian,30,0.006358165548114674,5.445877295818679,8.747168881522478,3.128816148201687,0.24610331062027874,173
20,gaussian,50,0.006358165548114674,4.68436974789916,7.577344949608022,2.9216924263602877,0.17108747115391956,120
20,gaussian,100,0.006358165548114674,4.311881188118812,6.9189864384197906,2.79056071309851,0.12409548070558932,99
20,gaussian,200,0.006358165548114674,3.682875264270613,5.443654985936813,2.444575632997098,0.0988659279996263,76
20,gaussian,300,0.006358165548114674,3.2637002341920374,4.548032873912783,2.185242682299541,0.06948526869752891,65
20,uniform_fixed,30,0.020812633127624713,13.348659003831418,8.3387621190082,3.0598332329123927,0.23547957112689308,103
20,uniform_fixed,50,0.020812633127624713,12.203152364273205,7.631057720608294,2.931883039040952,0.20682599743881552,84
20,uniform_fixed,100,0.020812633127624713,10.549583648750946,6.225346476938472,2.6381541338314136,0.1736144084877972,69
20,uniform_fixed,200,0.020812633127624713,9.480272108843538,5.343963370358442,2.417910119042628,0.15948274694769998,59
20,uniform_fixed,300,0.020812633127624713,8.753768844221106,4.756576087448653,2.249923456078787,0.14641795226762103,55
30,quantile,30,0.0036240060992323063,3.543351131451818,8.904751823473363,3.1545754037992637,0.27702042594623527,215
30,quantile,50,0.0036240060992323063,3.160807439328646,7.9825104406369665,2.996842534753756,0.22773970994498186,170
30,quantile,100,0.0036240060992323063,2.5917798028640506,6.070940245934512,2.6019199733339144,0.12328313449710526,114
30,quantile,200,0.0036240060992323063,2.479274150507027,5.733033255681741,2.51929864772098,0.10522100143467723,97
30,quantile,300,0.0036240060992323063,2.3203463203463204,5.169804436113827,2.370109707158182,0.09039788989890528,91
30,gaussian,30,0.0012989739386001118,3.694591728525981,8.813481516039586,3.1397120275161523,0.25681071002048106,211
30,gaussian,50,0.0012989739386001118,3.4073349633251833,8.261333366490817,3.0463746491966903,0.2044153975083652,163
30,gaussian,100,0.0012989739386001118,2.845823973861548,6.409005064791506,2.680100409964063,0.10560819062876434,116
30,gaussian,200,0.0012989739386001118,2.6141436878634403,5.616132713838266,2.4895770281164875,0.09319413754853041,94
30,gaussian,300,0.0012989739386001118,2.3716814159292037,4.863527422129518,2.282003052204013,0.06626665081005392,83
30,uniform_fixed,30,0.009475170937434286,8.54445125689761,8.241749525377221,3.0429506194074065,0.2097276385184366,141
30,uniform_fixed,50,0.009475170937434286,8.041546451240624,8.033577714845764,3.0060426280861883,0.19085637838680178,114
30,uniform_fixed,100,0.009475170937434286,6.940239043824701,6.524914734143872,2.705959049049336,0.14558800202822603,91
